name,id,smi,graph_dfs,linear_encoding,is_molecule,is_product,mod_mol,img,rdkit_mol,rdkit_svg,indigo_mol,indigo_svg,MolWt,LogP,MR,TPSA,# H acceptors,# H donors,# Rotatable bonds,# Atoms,# Bonds,# C atoms,# O atoms,# H atoms,# Atoms (no H),# Bonds (no H)
"p_{0,22}",139,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[H],False,True,'g_{740}',images/mod_mol27.svg,,,,,,,,,,,,23,22,8,4,9,,
"p_{0,23}",142,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],False,True,'g_{741}',images/mod_mol28.svg,,,,,,,,,,,,25,24,8,4,11,,
"p_{0,24}",145,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])([H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])([H])[H],False,True,'g_{742}',images/mod_mol29.svg,,,,,,,,,,,,22,21,8,3,9,,
"p_{0,25}",148,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],False,True,'g_{743}',images/mod_mol30.svg,,,,,,,,,,,,24,23,8,3,11,,
"p_{0,26}",151,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])([H])[C](=[O])[C]([H])([H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])([H])[C](=[O])[C]([H])([H])[H])[H],False,True,'g_{744}',images/mod_mol31.svg,,,,,,,,,,,,25,24,8,4,11,,
"p_{0,27}",154,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H])[H],False,True,'g_{745}',images/mod_mol32.svg,,,,,,,,,,,,27,26,8,4,13,,
"p_{0,28}",157,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])=[C]([H])[C]([H])([H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])=[C]([H])[C]([H])([H])[H])[H],False,True,'g_{746}',images/mod_mol33.svg,,,,,,,,,,,,24,23,8,3,11,,
"p_{0,29}",160,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])([C]([H])([C]([H])([H])[H])[H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])([C]([H])([C]([H])([H])[H])[H])[H])[H],False,True,'g_{747}',images/mod_mol34.svg,,,,,,,,,,,,26,25,8,3,13,,
"p_{0,30}",163,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])([H])[C](=[O])[C]([H])([H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])([H])[C](=[O])[C]([H])([H])[H],False,True,'g_{748}',images/mod_mol35.svg,,,,,,,,,,,,22,21,8,3,9,,
"p_{0,31}",166,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],False,True,'g_{749}',images/mod_mol36.svg,,,,,,,,,,,,24,23,8,3,11,,
"p_{0,32}",169,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])=[C]([H])[C]([H])([H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])=[C]([H])[C]([H])([H])[H],False,True,'g_{750}',images/mod_mol37.svg,,,,,,,,,,,,21,20,8,2,9,,
"p_{0,33}",172,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],False,True,'g_{751}',images/mod_mol38.svg,,,,,,,,,,,,23,22,8,2,11,,
"p_{0,34}",175,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])([H])[C](=[O])[C]([H])([H])[H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])([H])[C](=[O])[C]([H])([H])[H])[H])[H],False,True,'g_{752}',images/mod_mol39.svg,,,,,,,,,,,,24,23,8,3,11,,
"p_{0,35}",178,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H])[H])[H],False,True,'g_{753}',images/mod_mol40.svg,,,,,,,,,,,,26,25,8,3,13,,
"p_{0,36}",181,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])=[C]([H])[C]([H])([H])[H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])=[C]([H])[C]([H])([H])[H])[H])[H],False,True,'g_{754}',images/mod_mol41.svg,,,,,,,,,,,,23,22,8,2,11,,
"p_{0,37}",184,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])([C]([H])([C]([H])([H])[H])[H])[H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])([C]([H])([C]([H])([H])[H])[H])[H])[H])[H],False,True,'g_{755}',images/mod_mol42.svg,,,,,,,,,,,,25,24,8,2,13,,
